,WMO,PROF,JULD,LON,LAT,PRES,PRES_ERROR,TEMP,TEMP_ERROR,PSAL,PSAL_ERROR,DOXY,DOXY_ERROR,DEPTH,SIGMA0,THETA0,DOY,DOY_SIN,DOY_COS,YEAR,BATH
210,6903549,16,2019-09-27 11:22:00.000000000,-4.370635,68.91597833333333,199.0,2.4000000953674316,3.9749999046325684,0.0020000000949949026,34.96699905395508,0.009999999776482582,288.4951171875,16.137203216552734,196.9032342005803,1027.7658659827373,3.961005713357869,270,-0.9977068927101168,-0.06768276175455162,2019,3533.0
211,6903549,16,2019-09-27 11:22:00.000000000,-4.370635,68.91597833333333,253.0,2.4000000953674316,3.177000045776367,0.0020000000949949026,34.94599914550781,0.009999999776482582,286.9607849121094,16.357372283935547,250.3015753092073,1027.8287987202336,3.1607376529319793,270,-0.9977068927101168,-0.06768276175455162,2019,3533.0
212,6903549,16,2019-09-27 11:22:00.000000000,-4.370635,68.91597833333333,257.0,2.4000000953674316,3.1449999809265137,0.0020000000949949026,34.94300079345703,0.009999999776482582,287.0197448730469,16.363508224487305,254.25645437510332,1027.8294488319032,3.128540373890386,270,-0.9977068927101168,-0.06768276175455162,2019,3533.0
213,6903549,16,2019-09-27 11:22:00.000000000,-4.370635,68.91597833333333,494.8999938964844,2.4000000953674316,0.3310000002384186,0.0020000000949949026,34.90700149536133,0.009999999776482582,292.485595703125,17.111318588256836,489.33597463672146,1028.0163763171483,0.3099439365516452,270,-0.9977068927101168,-0.06768276175455162,2019,3533.0
214,6903549,16,2019-09-27 11:22:00.000000000,-4.370635,68.91597833333333,684.9000244140625,2.4000000953674316,-0.11800000071525574,0.0020000000949949026,34.90599822998047,0.009999999776482582,292.47991943359375,16.969120025634766,676.890863207259,1028.0409396913913,-0.14567851893039566,270,-0.9977068927101168,-0.06768276175455162,2019,3533.0
215,6903549,16,2019-09-27 11:22:00.000000000,-4.370635,68.91597833333333,805.0,2.4000000953674316,-0.25,0.0020000000949949026,34.90599822998047,0.009999999776482582,292.7290344238281,16.81500816345215,795.3575411350183,1028.0481076921997,-0.2825003980282152,270,-0.9977068927101168,-0.06768276175455162,2019,3533.0
216,6903549,16,2019-09-27 11:22:00.000000000,-4.370635,68.91597833333333,848.9000244140625,2.4000000953674316,-0.30000001192092896,0.0020000000949949026,34.90599822998047,0.009999999776482582,292.22308349609375,16.759519577026367,838.6436538214974,1028.0507430574646,-0.3342484846117355,270,-0.9977068927101168,-0.06768276175455162,2019,3533.0
217,6903549,16,2019-09-27 11:22:00.000000000,-4.370635,68.91597833333333,883.0,2.4000000953674316,-0.34200000762939453,0.0020000000949949026,34.90599822998047,0.009999999776482582,292.8284912109375,16.717878341674805,872.2605360832425,1028.052918431416,-0.37758095155289584,270,-0.9977068927101168,-0.06768276175455162,2019,3533.0
218,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,32.900001525878906,2.4000000953674316,8.609000205993652,0.0020000000949949026,34.981998443603516,0.009999999776482582,273.96923828125,14.786080360412598,32.56689022787784,1027.1695202215315,8.60554889528163,275,-0.999832969770105,0.018276557681691223,2019,3588.0
219,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,55.0,2.4000000953674316,8.494000434875488,0.0020000000949949026,34.96799850463867,0.009999999776482582,268.12127685546875,14.820276260375977,54.44020791530467,1027.176979489278,8.488271303821682,275,-0.999832969770105,0.018276557681691223,2019,3588.0
220,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,61.0,2.4000000953674316,6.297999858856201,0.0020000000949949026,34.99700164794922,0.009999999776482582,276.0962829589844,15.515024185180664,60.37826096377101,1027.5145087115286,6.292656132702884,275,-0.999832969770105,0.018276557681691223,2019,3588.0
221,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,63.0,2.4000000953674316,6.15500020980835,0.0020000000949949026,34.98899841308594,0.009999999776482582,276.9090576171875,15.556395530700684,62.35757359065323,1027.5268730564144,6.149550809946732,275,-0.999832969770105,0.018276557681691223,2019,3588.0
222,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,68.9000015258789,2.4000000953674316,6.01200008392334,0.0020000000949949026,34.98099899291992,0.009999999776482582,278.2115173339844,15.605018615722656,68.19643553324285,1027.5390697693774,6.006114644377461,275,-0.999832969770105,0.018276557681691223,2019,3588.0
223,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,76.9000015258789,2.4000000953674316,5.65500020980835,0.0020000000949949026,34.9640007019043,0.009999999776482582,280.3280944824219,15.714105606079102,76.11326770111752,1027.570710015492,5.648642610786192,275,-0.999832969770105,0.018276557681691223,2019,3588.0
224,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,81.0,2.4000000953674316,5.622000217437744,0.0020000000949949026,34.96099853515625,0.009999999776482582,280.98223876953125,15.719320297241211,80.17052370498587,1027.572458213868,5.615322502256459,275,-0.999832969770105,0.018276557681691223,2019,3588.0
225,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,117.0,2.4000000953674316,4.8520002365112305,0.0020000000949949026,34.9370002746582,0.009999999776482582,285.22076416015625,15.943989753723145,115.79176357056245,1027.6454290751865,4.8430356650191,275,-0.999832969770105,0.018276557681691223,2019,3588.0
226,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,119.0999984741211,2.4000000953674316,4.8420000076293945,0.0020000000949949026,34.939998626708984,0.009999999776482582,285.1120910644531,15.941433906555176,117.8694760219474,1027.6489710625651,4.832881460064642,275,-0.999832969770105,0.018276557681691223,2019,3588.0
227,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,139.0,2.4000000953674316,4.2779998779296875,0.0020000000949949026,34.88999938964844,0.009999999776482582,285.41925048828125,16.128639221191406,137.55724247271598,1027.6720595840727,4.2679713716094385,275,-0.999832969770105,0.018276557681691223,2019,3588.0
228,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,173.0,2.4000000953674316,4.130000114440918,0.0020000000949949026,34.94900131225586,0.009999999776482582,288.5767517089844,16.12187957763672,171.19024418959373,1027.7350455845676,4.117660076889204,275,-0.999832969770105,0.018276557681691223,2019,3588.0
229,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,194.89999389648438,2.4000000953674316,4.006999969482422,0.0020000000949949026,34.96500015258789,0.009999999776482582,289.8224792480469,16.13187599182129,192.8509206936745,1027.760900210625,3.9932510601753535,275,-0.999832969770105,0.018276557681691223,2019,3588.0
230,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,291.0,2.4000000953674316,2.614000082015991,0.0020000000949949026,34.930999755859375,0.009999999776482582,292.4203186035156,16.516639709472656,287.8736972378534,1027.8682582904837,2.5965501700020663,275,-0.999832969770105,0.018276557681691223,2019,3588.0
231,6903549,17,2019-10-02 11:19:00.000000256,-4.256365,68.70123833333334,319.0,2.4000000953674316,2.312000036239624,0.0020000000949949026,34.928001403808594,0.009999999776482582,294.2065734863281,16.591794967651367,315.5515485850185,1027.8918578766331,2.2935913785423034,275,-0.999832969770105,0.018276557681691223,2019,3588.0
